title,url,discounted_price,original_price
Authentic IJOY CAPTAIN 2 Kit - Black,https://www.cigabuy.com/authentic-ijoy-captain-2-kit-black-p-19125.html,$38.00,$50.90 
Authentic THC Artemis RDTA - SS,https://www.cigabuy.com/authentic-thc-artemis-rdta-ss-p-20219.html,$30.50,$68.11 
Authentic Wotofo Profile RDTA  - Black,https://www.cigabuy.com/authentic-wotofo-profile-rdta-black-p-19384.html,$24.74,$42.84 
H50 Smart Watch Blood Pressure Heart Rate Monitor IP67 Waterproof Bracelet,https://www.cigabuy.com/h50-smart-watch-blood-pressure-heart-rate-monitor-ip67-waterproof-bracelet-p-19464.html,$13.52,$20.43 
Authentic Wotofo Profile RDTA  - Gold,https://www.cigabuy.com/authentic-wotofo-profile-rdta-gold-p-19387.html,$21.39,$42.84 
4 × Authentic Uwell Valyrian Pod Coil DTL 0.6ohm,https://www.cigabuy.com/4-×-authentic-uwell-valyrian-pod-coil-dtl-06ohm-p-19511.html,$3.19,$15.11 
Authentic Dovpo Odin DNA250C 200W Box Mod - Black,https://www.cigabuy.com/authentic-dovpo-odin-dna250c-200w-box-mod-black-p-16508.html,$119.70,$196.68 
Authentic Steam Crave Aromamizer Lite V1.5 3.5ML RTA - Gunmetal,https://www.cigabuy.com/authentic-steam-crave-aromamizer-lite-v15-35ml-rta-gunmetal-p-16254.html,$12.13,$43.23 
Authentic Vandyvape Berserker V2 MTL RTA  - Matte Black,https://www.cigabuy.com/authentic-vandyvape-berserker-v2-mtl-rta-matte-black-p-19403.html,$20.11,$25.72 
Authentic Uwell Caliburn KOKO Prime Kit - Black,https://www.cigabuy.com/authentic-uwell-caliburn-koko-prime-kit-black-p-20246.html,$19.82,$34.05 
Authentic Lost Vape Grus 100W TC Box Mod - Gunmetal / Carbon Fiber,https://www.cigabuy.com/authentic-lost-vape-grus-100w-tc-box-mod-gunmetal-carbon-fiber-p-20077.html,$31.41,$57.40 
Authentic Vandyvape GAUR-21 Mod - Flame Red Resin,https://www.cigabuy.com/authentic-vandyvape-gaur-21-mod-flame-red-resin-p-20365.html,$41.92,$59.59 
Authentic Uwell Caliburn G POD kit - Black,https://www.cigabuy.com/authentic-uwell-caliburn-g-pod-kit-black-p-19935.html,$20.04,$32.48 
Authentic Geekvape Aegis Boost Pro Kit - Space Black,https://www.cigabuy.com/authentic-geekvape-aegis-boost-pro-kit-space-black-p-20324.html,$31.01,$48.78 
Authentic Steam Crave Aromamizer Lite V1.5 3.5ML RTA - Black,https://www.cigabuy.com/authentic-steam-crave-aromamizer-lite-v15-35ml-rta-black-p-16253.html,$12.13,$44.34 
5 x Authentic Geekvape P Series Coil KA1 0.4ohm,https://www.cigabuy.com/5-x-authentic-geekvape-series-coil-ka1-04ohm-p-20333.html,$10.67,$16.25 
4 x Authentic Uwell Aeglos UN2 meshed-H coil 0.23ohm,https://www.cigabuy.com/4-x-authentic-uwell-aeglos-un2-meshed-h-coil-023ohm-p-20293.html,$8.03,$14.15 
Authentic Vandyvape Berserker V2 MTL RTA  - Gunmetal,https://www.cigabuy.com/authentic-vandyvape-berserker-v2-mtl-rta-gunmetal-p-19404.html,$19.15,$25.99 
Authentic Lost Vape Grus 100W TC Box Mod - Black / Walnut Wood,https://www.cigabuy.com/authentic-lost-vape-grus-100w-tc-box-mod-black-walnut-wood-p-20081.html,$31.41,$57.40 
2 x Authentic Geekvape Aegis Boost Pro Empty Pod,https://www.cigabuy.com/2-x-authentic-geekvape-aegis-boost-pro-empty-pod-p-20330.html,$5.59,$8.12 
Authentic Steam Crave Aromamizer Supreme V3 RDTA advanced kit 7ml 25ml - Black,https://www.cigabuy.com/authentic-steam-crave-aromamizer-supreme-v3-rdta-advanced-kit-7ml-25ml-black-p-19980.html,$50.91,$79.06 
Authentic Geekvape Zeus Sub-ohm Tank Atomizer 5ml - Black,https://www.cigabuy.com/authentic-geekvape-zeus-sub-ohm-tank-atomizer-5ml-black-p-15776.html,$20.65,$32.78 
Authentic Uwell Caliburn G POD kit - Grey,https://www.cigabuy.com/authentic-uwell-caliburn-g-pod-kit-grey-p-19938.html,$19.20,$32.48 
4 x Authentic Uwell Aeglos Coil 0.8ohm,https://www.cigabuy.com/4-x-authentic-uwell-aeglos-coil-08ohm-p-20292.html,$7.62,$13.09 
3 x Authentic Wotofo H11 SINGLE CONICAL NEXMESH COIL 0.20ohm,https://www.cigabuy.com/3-x-authentic-wotofo-h11-single-conical-nexmesh-coil-020ohm-p-19870.html,$7.04,$16.25 
1 x Authentic Uwell Aeglos Empty Pod Cartridge 3.5ml,https://www.cigabuy.com/1-x-authentic-uwell-aeglos-empty-pod-cartridge-35ml-p-20291.html,$2.95,$3.66 
Authentic Wotofo nexMESH PRO TANK - Black,https://www.cigabuy.com/authentic-wotofo-nexmesh-pro-tank-black-p-19853.html,$21.12,$37.91 
Authentic Uwell Caliburn G POD kit - Red,https://www.cigabuy.com/authentic-uwell-caliburn-g-pod-kit-red-p-19937.html,$20.04,$32.48 
Authentic Vandyvape GAUR-21 Mod - Carbon Fiber Silver,https://www.cigabuy.com/authentic-vandyvape-gaur-21-mod-carbon-fiber-silver-p-20364.html,$39.40,$59.59 
Authentic Geekvape Aegis Solo 100W TC Box Mod - Black,https://www.cigabuy.com/authentic-geekvape-aegis-solo-100w-tc-box-mod-black-p-14357.html,$32.24,$47.15 
Authentic Steam Crave Aromamizer Ragnar RDTA Advanced Kit - SS,https://www.cigabuy.com/authentic-steam-crave-aromamizer-ragnar-rdta-advanced-kit-ss-p-19143.html,$54.15,$86.65 
Authentic Steam Crave Titan PWM V1.5 Mod - Gunmetal,https://www.cigabuy.com/authentic-steam-crave-titan-pwm-v15-mod-gunmetal-p-19520.html,$54.16,$82.99 
X96Q Android 10.0 TV Box Quad Core Allwinner H313 4K TV Box 2GB RAM 16GB ROM,https://www.cigabuy.com/x96q-android-100-tv-box-quad-core-allwinner-h313-4k-tv-box-2gb-ram-16gb-rom-p-18997.html,$19.88,$46.69 
Authentic Steam Crave Aromamizer Supreme V3 RDTA basic kit 7ml - Stainless Steel,https://www.cigabuy.com/authentic-steam-crave-aromamizer-supreme-v3-rdta-basic-kit-7ml-stainless-steel-p-19983.html,$25.54,$54.15 
Authentic Wotofo nexMESH PRO TANK - Gunmetal,https://www.cigabuy.com/authentic-wotofo-nexmesh-pro-tank-gunmetal-p-19854.html,$21.12,$37.91 
Authentic Uwell Aeglos Pod Kit - Black,https://www.cigabuy.com/authentic-uwell-aeglos-pod-kit-black-p-20286.html,$22.87,$40.03 
Authentic Steam Crave Aromamizer Plus V2 RDTA Advanced Kit - Silver,https://www.cigabuy.com/authentic-steam-crave-aromamizer-plus-v2-rdta-advanced-kit-silver-p-18332.html,$42.65,$76.57 
Authentic Uwell Caliburn KOKO Prime Kit - Blue,https://www.cigabuy.com/authentic-uwell-caliburn-koko-prime-kit-blue-p-20247.html,$19.82,$34.05 
Authentic Ehpro Cold Steel 100 120W TC Box Mod - Black Obsidian,https://www.cigabuy.com/authentic-ehpro-cold-steel-100-120w-tc-box-mod-black-obsidian-p-15781.html,$40.20,$63.69 
Authentic Lost Vape Centaurus DNA 250C 200W - Black Gold Chopped Carbon Fiber,https://www.cigabuy.com/authentic-lost-vape-centaurus-dna-250c-200w-black-gold-chopped-carbon-fiber-p-19894.html,$131.26,$187.06 
Authentic Vandyvape Kylin Mini V2 RTA 5ml - Matte Black,https://www.cigabuy.com/authentic-vandyvape-kylin-mini-v2-rta-5ml-matte-black-p-19966.html,$27.08,$42.23 
Authentic Wotofo Profile RDTA  - Blue,https://www.cigabuy.com/authentic-wotofo-profile-rdta-blue-p-19388.html,$25.54,$42.84 
1 × Authentic uwell Valyrian Empty Cartridge 3ml,https://www.cigabuy.com/1-×-authentic-uwell-valyrian-empty-cartridge-3ml-p-19510.html,$0.80,$4.23 
5 x Authentic Geekvape P Series Coil KA1 0.2ohm,https://www.cigabuy.com/5-x-authentic-geekvape-series-coil-ka1-02ohm-p-20332.html,$10.67,$16.25 
JAKEMY JM-8177 Precision Screwdriver Set Magnetic Bits Aluminum Alloy Handle,https://www.cigabuy.com/jakemy-jm-8177-precision-screwdriver-set-magnetic-bits-aluminum-alloy-handle-p-20527.html,$10.23,$18.41 
USB Rechargeable Aluminum Alloy Battery Display Telescopic Zoom LED Flashlight,https://www.cigabuy.com/usb-rechargeable-aluminum-alloy-battery-display-telescopic-zoom-led-flashlight-p-19461.html,$5.65,$19.98 
Authentic SMOK TFV12 Cloud Beast King RBA Edition Tank - Gold,https://www.cigabuy.com/authentic-smok-tfv12-cloud-beast-king-rba-edition-tank-gold-p-9929.html,$6.25,$21.55 
3 x Authentic Wotofo H13 SINGLE CONICAL NET MESH COIL 0.15ohm,https://www.cigabuy.com/3-x-authentic-wotofo-h13-single-conical-net-mesh-coil-015ohm-p-19867.html,$7.04,$16.25 
Universal USB Quick Charge 3.0 Wall Adapter Android Mobile Phone Fast Charger,https://www.cigabuy.com/universal-usb-quick-charge-30-wall-adapter-android-mobile-phone-fast-charger-p-19475.html,$2.16,$5.57 
4 x Authentic OFRF M22 nexMESH Coil 0.6ohm,https://www.cigabuy.com/4-x-authentic-ofrf-m22-nexmesh-coil-06ohm-p-20305.html,$9.15,$18.25 
Authentic Geekvape Zeus Nano Tank - Black,https://www.cigabuy.com/authentic-geekvape-zeus-nano-tank-black-p-20001.html,$15.16,$27.07 
Authentic Uwell Aeglos Pod Kit - Grey,https://www.cigabuy.com/authentic-uwell-aeglos-pod-kit-grey-p-20289.html,$22.87,$40.03 
Authentic THC Artemis RDTA - Black,https://www.cigabuy.com/authentic-thc-artemis-rdta-black-p-20221.html,$31.51,$68.11 
B9 TWS 5.0 Bluetooth Earbud 8D Stereo Smart Touch Control Wireless Earphones,https://www.cigabuy.com/b9-tws-50-bluetooth-earbud-8d-stereo-smart-touch-control-wireless-earphones-p-19474.html,$8.97,$21.39 
Authentic Vandyvape Jackaroo Dual 188W Box Mod - Resin Red Agate,https://www.cigabuy.com/authentic-vandyvape-jackaroo-dual-188w-box-mod-resin-red-agate-p-20244.html,$48.29,$71.15 
USB Blackhead Remover Face Skin Care Deep Pore Cleaner Removal Vacuum Suction,https://www.cigabuy.com/usb-blackhead-remover-face-skin-care-deep-pore-cleaner-removal-vacuum-suction-p-19621.html,$5.01,$18.54 
Authentic SMOK Novo X Pod System Kit  - Blck Cobra,https://www.cigabuy.com/authentic-smok-novo-x-pod-system-kit-blck-cobra-p-19494.html,$15.96,$23.83 
Authentic Dovpo Odin 100 Box Mod - Gunmetal,https://www.cigabuy.com/authentic-dovpo-odin-100-box-mod-gunmetal-p-19697.html,$59.58,$81.23 
Mini Electrical Screwdriver power tools 3.6V Rechargeable Cordless Power Drill,https://www.cigabuy.com/mini-electrical-screwdriver-power-tools-36v-rechargeable-cordless-power-drill-p-19576.html,$8.20,$21.39 
Authentic Uwell Caliburn G POD kit - Blue,https://www.cigabuy.com/authentic-uwell-caliburn-g-pod-kit-blue-p-19936.html,$20.04,$32.48 
Authentic Steam Crave Aromamizer Supreme V3 RDTA basic kit 7ml 25ml - Black,https://www.cigabuy.com/authentic-steam-crave-aromamizer-supreme-v3-rdta-basic-kit-7ml-25ml-black-p-19984.html,$36.83,$57.40 
Biker Gloves Motorcross Full Finger Motorcycle Bicycle Cycling Waterproof Glove,https://www.cigabuy.com/biker-gloves-motorcross-full-finger-motorcycle-bicycle-cycling-waterproof-glove-p-19607.html,$4.59,$20.47 
4 x Authentic UWELL Nunchaku 0.2ohm Replacement Meshed Coils,https://www.cigabuy.com/4-x-authentic-uwell-nunchaku-02ohm-replacement-meshed-coils-p-15666.html,$6.39,$10.37 
Authentic Vaporesso FORZ TX80 VW 80W Mod - Brick Black,https://www.cigabuy.com/authentic-vaporesso-forz-tx80-vw-80w-mod-brick-black-p-20082.html,$37.91,$60.65 
Authentic Vandyvape GAUR-21 Mod - Sky Blue Resin,https://www.cigabuy.com/authentic-vandyvape-gaur-21-mod-sky-blue-resin-p-20366.html,$41.92,$59.59 
Authentic Geekvape Zeus Nano Tank - Gunmetal,https://www.cigabuy.com/authentic-geekvape-zeus-nano-tank-gunmetal-p-20000.html,$15.16,$27.07 
